Deutsch;Englisch;
Mensch;Human;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Haus;House;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Auto;Car;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Aufbereitungsroutine;editing routine;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
aufdecken;uncover;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Aufgabe;task;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Aufgabenschwerpunkte ;focus of task ;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Aufgabenstellung;task definition;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Aufgabenstellung der Lösungsstudie;tasks of the feasibility study;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Aufgabenstruktur;task structure;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
aufgelaufene Aufwände;actual effort;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Auflage , Bedingungen , Anforderungen;requirement;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Aufschlag;additional charge;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Aufstellung;Supervisory Board;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Aufstellung (organisatorische);Deployment (TQM);0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Aufstellungsvorschriften;organizational structure;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Auftrag;order;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Auftragnehmer;client (vs. customer);0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Auftragsabwicklungsverfahren;order processing system;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Auftragsbearbeitung;Order;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Auftragseingang;Orders Received;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Auftragsendtermin;order deadline;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Auftragsfinanzierung;Project and Export Financing;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Auftragsposition;order item;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Auftragsstatus;order status;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Auftragsüberwachung;order monitoring;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Auftragszentrum;Order Processing;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Aufwand;expense;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Aufwand (allg.);effort;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Aufwandsabschätzung (= Aufwandsschätzung);estimation of effort;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Aufwandsgeschäft;business projects charged on the basis of outlay effort;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Aufwandskonto;expense account;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
aufwandsneutral;neutral;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Aufwandsplan;expenditure plan;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Aufwandsplanung;expenditure planning;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
aufwandsrelevant;relevant to the expense account;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Aufwandsschätzung;estimation of effort;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Aufwands-Termin-Diagramm;effort/deadline resource diagram;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Aufwandstreue;effort accuracy (estimated effort accuracy) / (total) commitment to effort;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Aufwandsverfolgung;effort tracking resource monitoring;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Aufwärtskompatibel;upwards compatible;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Aufwärtskompatibilität;upward compatibility;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Aufwendung;expenditure;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Aus- und Weiterbildung;training and continuing (or further) education;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Ausarbeiten und Durchführen von Anwenderschulungen;elaborating and conducting user training courses;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Ausarbeiten/Festlegen von Designprinzipien und Styleguides;elaborating / defining design principles and style guides;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Ausbaustand;configuration state, release;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Ausbaustufe;release (of incremental delivery);0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Ausbaustufenmodell;incremental delivery model;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Ausbildungsprofil der Mitarbeiter;know-how and training profiles of staff;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
ausblenden;mask out;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Ausfallanalyse;analysis of failure;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Ausfallsicherheit;reliability against failure;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Ausfuhrgenehmigung;export licence;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
ausführliche Beschreibung;detailed description;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Ausfuhrverantwortlicher ;Export Officer ;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Ausfuhrvorschriften;Export Regulations;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Ausgabe;expenditure;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Ausgabeformat;output format;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
ausgabenwirksam;affecting expenses;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Ausgangsleistung;output;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Ausgangsmaterial;original material;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Ausgangssituation;Current situation;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Auskunftssysteme;retrieval systems;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Ausland;International;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Ausland, im Ausland;"Foreign Countries;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Ausländische Elektroindustrie;International Electrical Industry;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Ausländische Steuern;Foreign Taxation;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Ausländische Werke/Fertigungen;Plants/Factories outside Germany;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Auslandsfertigungen;International Manufacturing Operations;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Auslastungsgrad;percentage utilization;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Auslastungsgrenze;power utilization limit;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Ausprägung;characteristic;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Ausreißerprozentsatz;outlier percentage;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
aussagekräftig;meaningful;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Aussagen;statement;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Ausscheibungsunterlage;tendering document;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Ausschreibung;call for tender;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Ausschreibungsdatum;bid invitation date;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Ausschuß;committee;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Außenbeziehungen;External Relations;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Außendienst;field sales;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Außendienstorganisation;field organization;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Außenhandel;foreign trade;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Außertariflicher Mitarbeiter;"Assistant Manager (mit Funktionszusatz;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Ausstattung;equipment level;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Ausstellungen;Exhibitions;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Ausstiegspunkt;opt-out clause;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Auswahl von Templates;portability;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Auswählen / Festlegen einer Prototyp-Entwicklungsumgebung;selection, co-ordination and control of outsourcing;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Auswählen und Festlegen des vertraglichen Rahmens;selecting / defining a prototyping development environment;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Ausweicharbeitsplatz;alternative work center;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Auswertung;Analysis;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Autoelektronik;Automotive Electronics;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Autom. für Werkzeugmasch.;Automation for machine tools;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
automatischer Rückruf;automatic call booking;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Automatisierung;automation;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Automatisierungsrechner;Automation computers;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Automatisierungssysteme;Automation Systems;0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Automatisierungstechnik (Bereich);Automation (Group);0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
Automobiltechnik (Bereich);Automotive Systems (Group);0;0;1;Sat Feb 07 20:00:16 CET 2015;Sat Feb 07 20:00:16 CET 2015;
